Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,DEFAULT
35000,36,0.0465,1161498.0,692,Debt Consolidation,RENT,WI,Others,2018,3,0
10000,36,0.2773,175000.0,692,Debt Consolidation,MORTGAGE,CA,Others,2019,6,0
12750,60,0.1571,56000.0,732,Home Improvement,OWN,FL,Food/Hospitality,2019,3,1
27100,36,0.3954,75000.0,752,Debt Consolidation,MORTGAGE,NY,Skilled Labor,2018,35,0
6075,36,0.2232,30000.0,742,Home Improvement,MORTGAGE,OH,Education,2020,5,1
10000,60,0.2972,44000.0,667,Credit Card Refinancing,MORTGAGE,PA,Others,2019,16,0
21000,36,0.3069,55000.0,707,Credit Card Refinancing,RENT,SC,Unknown,2018,8,0
32000,36,0.281,110000.0,687,Credit Card Refinancing,RENT,OR,IT/Engineering,2019,4,0
7000,36,9.15,50000.0,680,credit_card,mortgage,PA,Health care,2019,10+ years,0
13000,60,0.1533,61200.0,677,Credit Card Refinancing,MORTGAGE,TX,Construction/Labor,2019,7,0
4800,36,0.0864,54000.0,662,Credit Card Refinancing,OWN,NY,Customer Service,2019,0,0
12000,36,0.2924,55000.0,747,Debt Consolidation,RENT,NJ,Others,2018,3,0
12500,60,0.3171,54000.0,667,Debt Consolidation,MORTGAGE,AL,Driver/Transportation,2018,10,0
4000,36,0.3345,31000.0,667,Debt Consolidation,RENT,IN,Office,2020,3,1
13000,60,0.3216,75000.0,752,Debt Consolidation,OWN,IN,Driver/Transportation,2019,9,1
17000,36,0.3838,65000.0,707,Medical Expenses,RENT,TX,Skilled Labor,2019,8,0
10200,36,0.1357,275000.0,687,Debt Consolidation,RENT,CA,Office,2018,14,0
10000,36,0.3933,110000.0,687,Debt Consolidation,MORTGAGE,TX,,2019,< 1 year,0
29500,60,0.19699999999999998,70000.0,682,Credit Card Refinancing,MORTGAGE,CA,Health care,2019,25,1
17000,36,0.2227,70871.0,662,Debt Consolidation,RENT,NE,IT/Engineering,2018,15,0
16000,36,0.3111,157000.0,667,Debt Consolidation,MORTGAGE,OH,Office,2020,10,0
3000,36,0.2781,150119.0,682,Debt Consolidation,MORTGAGE,NC,Construction/Labor,2019,3,0
19425,36,0.3358,215000.0,712,Business,OWN,TX,,2019,< 1 year,0
15000,36,0.1913,75000.0,747,Debt Consolidation,MORTGAGE,NV,Real Estate,2019,18,0
5500,36,0.2939,35000.0,752,Credit Card Refinancing,RENT,LA,Office,2018,10,0
6000,36,0.1281,16860.0,662,Debt Consolidation,RENT,GA,,2019,0,0
11000,60,0.19899999999999998,48000.0,687,Debt Consolidation,RENT,WA,Customer Service,2019,1,0
30000,36,0.3756,123000.0,682,Debt Consolidation,MORTGAGE,TX,IT/Engineering,2019,0,0
16000,36,0.1512,105000.0,662,Credit Card Refinancing,RENT,CA,IT/Engineering,2019,2,1
18000,60,0.2187,63000.0,672,Debt Consolidation,MORTGAGE,TX,Office,2019,5,1
7000,36,0.2085,69000.0,682,Debt Consolidation,RENT,NV,Others,2019,4,0
29950,36,0.3328,75000.0,697,Debt Consolidation,MORTGAGE,TX,,2019,,0
7200,36,0.1469,42000.0,672,Debt Consolidation,RENT,TX,Skilled Labor,2019,2,1
32000,36,0.2484,111000.0,667,Credit Card Refinancing,MORTGAGE,AR,Office,2019,7,0
15000,36,0.0644,65000.0,677,Debt Consolidation,RENT,MO,IT/Engineering,2019,1,0
8000,36,0.2981,45000.0,692,Other,RENT,NJ,Others,2019,18,0
10000,60,0.217,38000.0,672,Debt Consolidation,OWN,CA,,2019,,1
17000,36,8.48,115000.0,720,debt_consolidation,mortgage,MD,IT/Engineering,2019,4 years,0
14750,36,0.3453,48000.0,682,Credit Card Refinancing,RENT,CA,Office,2018,19,0
10000,36,0.0956,100500.0,697,Debt Consolidation,RENT,NY,Office,2018,1,0
15000,60,0.203,170000.0,707,Home Improvement,MORTGAGE,MD,Office,2019,19,0
27000,36,4.9,300000.0,730,debt_consolidation,mortgage,CA,Office,2020,< 1 year,0
6375,36,1.97,80000.0,700,debt_consolidation,rent,CA,,2020,< 1 year,0
10000,60,0.2649,42000.0,707,Debt Consolidation,OWN,CA,Office,2020,1,0
8500,36,0.3193,50000.0,712,Debt Consolidation,OWN,OK,Education,2019,15,0
4500,36,0.1995,112000.0,687,Credit Card Refinancing,MORTGAGE,WI,Unknown,2019,12,0
16500,60,0.2341,123908.0,702,Credit Card Refinancing,MORTGAGE,OR,Others,2019,1,0
10000,36,0.1812,90000.0,752,Debt Consolidation,RENT,TN,Education,2018,2,0
12750,60,0.0468,80000.0,687,Other,RENT,MT,Sales,2019,4,0
17000,36,0.1329,82000.0,712,Debt Consolidation,RENT,TX,Small Business,2018,3,0
12000,36,0.1913,79100.0,667,Debt Consolidation,RENT,CA,Office,2019,2,0
35000,36,0.0786,150000.0,692,Debt Consolidation,RENT,CA,,2018,10,0
26000,36,0.1313,155000.0,712,Debt Consolidation,RENT,WA,Skilled Labor,2018,1,0
10000,36,0.3754,27500.0,722,Credit Card Refinancing,OWN,WI,,2018,0,0
32000,36,0.3153,91405.0,722,Debt Consolidation,RENT,CA,Sales,2020,11,1
10625,36,0.1591,48736.0,687,Home Improvement,MORTGAGE,VA,,2019,,0
6000,36,0.0863,60000.0,662,Debt Consolidation,RENT,CA,Office,2018,1,0
13000,36,0.2337,162667.0,712,Credit Card Refinancing,MORTGAGE,IL,Office,2020,35,0
15000,60,0.1883,52000.0,662,Debt Consolidation,RENT,CT,Office,2019,2,0
13600,60,0.3348,102440.0,702,Debt Consolidation,OWN,WV,Office,2019,3,0
13800,60,6.59,89000.0,650,debt_consolidation,rent,TX,,2019,< 1 year,0
25000,36,0.2104,70000.0,712,Debt Consolidation,MORTGAGE,MN,Others,2019,4,0
28000,36,0.3963,80000.0,682,Credit Card Refinancing,MORTGAGE,FL,Legal/Government/Police,2018,10,0
3000,36,0.2566,21000.0,697,Credit Card Refinancing,RENT,CA,Others,2020,3,0
8400,36,0.2482,31245.0,682,Debt Consolidation,RENT,NY,Office,2019,0,0
18000,60,0.0326,126000.0,717,Debt Consolidation,MORTGAGE,MI,Driver/Transportation,2019,1,0
16000,36,30.08,47000.0,675,credit_card,mortgage,AL,Education,2019,4 years,0
12000,36,0.1566,84000.0,667,Debt Consolidation,MORTGAGE,NV,Health care,2018,5,0
3000,36,0.2771,39200.0,662,Home Improvement,OWN,NC,Education,2019,0,0
30000,60,0.3219,99800.0,707,Credit Card Refinancing,MORTGAGE,TX,Office,2019,22,0
28700,60,0.1222,300000.0,722,Credit Card Refinancing,RENT,NJ,Food/Hospitality,2019,6,1
10000,36,0.1566,60000.0,687,Credit Card Refinancing,RENT,FL,Skilled Labor,2019,0,0
30000,36,0.2026,190000.0,697,Debt Consolidation,MORTGAGE,MA,Others,2019,17,0
15000,60,13.13,125000.0,745,debt_consolidation,mortgage,SC,Health care,2019,5 years,0
30000,60,0.2612,135000.0,717,Debt Consolidation,MORTGAGE,RI,Real Estate,2019,4,0
25000,36,0.1215,110000.0,672,Debt Consolidation,MORTGAGE,MD,Legal/Government/Police,2018,6,0
5000,36,0.2693,52000.0,687,Credit Card Refinancing,MORTGAGE,IN,Office,2019,26,0
19250,36,0.2449,200000.0,682,Debt Consolidation,MORTGAGE,NJ,Construction/Labor,2019,10,0
30000,60,0.0864,30000.0,677,Debt Consolidation,RENT,LA,Unknown,2018,10,0
36000,36,0.0246,85000.0,732,Debt Consolidation,MORTGAGE,MD,Skilled Labor,2019,0,0
11000,60,0.0572,80000.0,662,Credit Card Refinancing,RENT,CA,Office,2019,15,0
16000,60,0.2413,75000.0,697,Credit Card Refinancing,MORTGAGE,MO,,2019,,0
8000,36,0.2095,92000.0,662,Debt Consolidation,MORTGAGE,WA,Legal/Government/Police,2019,3,1
26600,36,36.06,100000.0,685,credit_card,mortgage,WI,,2019,< 1 year,0
10625,36,0.1693,48000.0,682,Credit Card Refinancing,RENT,NY,Skilled Labor,2019,0,1
31200,60,53.32,58000.0,710,debt_consolidation,own,NC,Others,2018,5 years,0
21650,60,0.0971,57000.0,722,Other,RENT,SC,Customer Service,2019,0,0
17850,36,0.1017,53000.0,732,Debt Consolidation,RENT,NY,Customer Service,2019,0,0
31425,36,0.2395,188000.0,662,Debt Consolidation,OWN,WI,Others,2019,4,1
19200,36,0.1148,95000.0,662,Credit Card Refinancing,RENT,CA,Others,2018,12,1
30000,36,0.0368,60000.0,712,Debt Consolidation,RENT,CA,Office,2018,6,0
25525,60,0.1983,110700.0,732,Credit Card Refinancing,RENT,CA,Office,2019,2,1
15000,36,0.2132,90000.0,712,Medical Expenses,MORTGAGE,NV,,2019,< 1 year,0
18000,60,0.1234,95000.0,677,Debt Consolidation,MORTGAGE,FL,Skilled Labor,2019,10,0
20000,60,0.1789,65000.0,667,Credit Card Refinancing,MORTGAGE,WV,,2019,< 1 year,0
5000,36,0.1696,28800.0,702,Home Purchase,MORTGAGE,NC,,2019,,0
25000,36,0.1304,116000.0,667,Debt Consolidation,MORTGAGE,MD,Others,2019,18,0
21275,60,0.1887,81000.0,712,Debt Consolidation,RENT,PA,Office,2019,4,0
17000,36,0.3779,28800.0,687,Debt Consolidation,RENT,CA,Skilled Labor,2019,3,1
10000,60,0.1662,65000.0,677,Credit Card Refinancing,RENT,MI,,2019,< 1 year,0
36000,60,19.89,40000.0,715,debt_consolidation,rent,CA,Office,2019,2 years,0
26575,36,0.2341,75000.0,687,Debt Consolidation,MORTGAGE,AK,Customer Service,2020,10,0
21275,36,0.122,107448.0,682,Home Improvement,MORTGAGE,WA,Others,2019,2,0
20000,60,0.2167,84000.0,687,Debt Consolidation,MORTGAGE,IL,Skilled Labor,2019,10,0
10000,36,0.1301,120000.0,667,Debt Consolidation,MORTGAGE,TX,Small Business,2019,10,0
26000,36,0.2489,118000.0,672,Credit Card Refinancing,MORTGAGE,IL,Skilled Labor,2019,3,0
17000,36,0.1334,140000.0,672,Home Improvement,OWN,FL,IT/Engineering,2019,3,0
19200,60,0.2989,62000.0,722,Debt Consolidation,MORTGAGE,CA,Office,2020,20,0
14875,36,0.3314,52000.0,687,Credit Card Refinancing,MORTGAGE,ND,Others,2020,2,0
40000,60,0.0756,150000.0,737,Debt Consolidation,RENT,DC,Sales,2019,8,1
12800,36,0.2118,48000.0,662,Credit Card Refinancing,RENT,CA,Office,2019,4,0
19000,60,0.2956,33000.0,712,Debt Consolidation,RENT,MD,Health care,2019,1,1
5300,36,0.1794,140000.0,712,Vacation,MORTGAGE,NJ,Skilled Labor,2019,3,0
30000,60,0.3512,120000.0,692,Debt Consolidation,MORTGAGE,PA,Driver/Transportation,2019,10,1
18000,60,0.342,70000.0,717,Debt Consolidation,MORTGAGE,FL,Skilled Labor,2019,17,0
10000,36,0.249,63000.0,732,Debt Consolidation,RENT,CO,Office,2018,5,0
4800,36,0.2622,40000.0,662,Debt Consolidation,OWN,AR,,2019,0,0
25000,60,0.128,68000.0,682,Debt Consolidation,RENT,CT,Customer Service,2019,6,1
30000,60,14.15,124705.0,675,debt_consolidation,rent,TX,Skilled Labor,2019,3 years,0
40000,36,0.2156,160000.0,702,Debt Consolidation,MORTGAGE,TX,IT/Engineering,2018,0,0
10000,36,0.3211,42000.0,662,Debt Consolidation,RENT,WA,Construction/Labor,2019,5,1
6000,36,0.1799,33552.0,697,Debt Consolidation,RENT,DC,,2020,,0
4775,36,0.2185,105000.0,677,Debt Consolidation,RENT,UT,Construction/Labor,2020,2,0
13000,60,10.05,85000.0,520,debt_consolidation,rent,CA,Office,2019,2 years,1
15000,60,0.27399999999999997,80000.0,677,Credit Card Refinancing,MORTGAGE,TX,Driver/Transportation,2019,1,1
6375,36,0.3576,45000.0,697,Debt Consolidation,MORTGAGE,FL,Office,2020,2,0
3200,36,0.1725,130000.0,682,Home Improvement,MORTGAGE,KY,Others,2018,10,0
7200,36,0.2447,84000.0,702,Other,RENT,TX,Skilled Labor,2019,8,1
30000,60,0.0589,98000.0,702,Debt Consolidation,RENT,GA,Others,2019,1,1
15000,60,26.31,52000.0,695,credit_card,rent,OR,Food/Hospitality,2020,10+ years,0
25000,60,0.2285,81500.0,687,Debt Consolidation,MORTGAGE,NC,IT/Engineering,2018,7,0
28000,60,0.2386,131000.0,737,Credit Card Refinancing,MORTGAGE,RI,IT/Engineering,2019,10,1
32500,60,0.2673,125000.0,742,Credit Card Refinancing,MORTGAGE,CO,Others,2018,2,0
9500,36,0.2964,56000.0,687,Debt Consolidation,RENT,NM,Office,2019,0,0
10000,36,18.7,72000.0,675,debt_consolidation,mortgage,NH,Health care,2019,1 year,0
40000,36,0.1835,500000.0,682,Debt Consolidation,MORTGAGE,TX,Others,2018,10,0
2200,36,0.3096,50000.0,667,Home Improvement,MORTGAGE,CA,Construction/Labor,2020,5,0
13275,60,0.2348,85000.0,672,Debt Consolidation,MORTGAGE,CT,Skilled Labor,2019,4,0
7975,36,0.2634,17000.0,712,Debt Consolidation,RENT,WI,,2019,,0
31575,36,0.341,72000.0,717,Debt Consolidation,RENT,NJ,,2019,,0
40000,60,0.19699999999999998,130000.0,702,Debt Consolidation,MORTGAGE,CA,IT/Engineering,2019,2,0
35000,60,0.1636,100000.0,662,Debt Consolidation,MORTGAGE,MD,Legal/Government/Police,2019,11,1
8500,36,0.3904,58000.0,722,Vacation,MORTGAGE,CA,Sales,2019,7,0
20000,36,0.0607,55000.0,727,Debt Consolidation,RENT,CA,Food/Hospitality,2018,1,0
21000,60,20.5,107000.0,745,other,own,MD,,2019,,0
8000,36,0.2802,35000.0,732,Debt Consolidation,MORTGAGE,OH,Unknown,2018,0,0
3500,36,0.0736,75000.0,697,Credit Card Refinancing,RENT,NE,Sales,2018,7,0
26575,60,0.2291,171313.0,707,Other,MORTGAGE,MD,Office,2019,10,0
8000,36,0.1152,55000.0,687,Debt Consolidation,MORTGAGE,CA,Health care,2018,0,0
14000,60,0.2859,75000.0,682,Credit Card Refinancing,MORTGAGE,NC,Others,2019,8,0
5000,36,0.1419,50000.0,717,Credit Card Refinancing,MORTGAGE,FL,Office,2018,1,0
10000,36,0.215,35000.0,667,Debt Consolidation,RENT,NC,Office,2020,2,0
5000,36,0.0757,36000.0,662,Other,RENT,NJ,Driver/Transportation,2019,1,0
23200,60,0.1494,252000.0,727,Debt Consolidation,MORTGAGE,MI,Others,2019,5,1
10000,36,0.1836,30000.0,672,Debt Consolidation,RENT,TX,Office,2019,2,0
31200,36,0.3386,99378.0,682,Debt Consolidation,MORTGAGE,WY,IT/Engineering,2019,1,0
23400,60,0.2354,60000.0,757,Other,MORTGAGE,OH,Skilled Labor,2019,7,0
18000,36,0.1946,240000.0,692,Vehicle Purchase,MORTGAGE,MD,,2019,,0
32000,60,0.259,75000.0,702,Debt Consolidation,MORTGAGE,IL,Others,2020,1,0
10000,36,6.9,234000.0,700,debt_consolidation,mortgage,CA,Customer Service,2020,5 years,0
31900,60,0.1183,120000.0,672,Debt Consolidation,OWN,LA,Skilled Labor,2019,5,1
20000,60,1.15,50000.0,700,other,own,GA,,2020,,0
25000,60,14.27,94000.0,740,credit_card,mortgage,GA,IT/Engineering,2019,< 1 year,0
36225,60,0.2351,170000.0,677,Credit Card Refinancing,MORTGAGE,TN,Office,2019,13,0
12000,36,0.0993,125000.0,662,Credit Card Refinancing,MORTGAGE,IL,Others,2018,2,0
13500,60,0.2036,88000.0,692,Home Improvement,MORTGAGE,GA,,2019,,0
32000,60,0.1535,140000.0,662,Credit Card Refinancing,RENT,PA,IT/Engineering,2019,1,0
10000,36,0.3352,70000.0,677,Credit Card Refinancing,RENT,NJ,IT/Engineering,2019,9,0
6025,36,0.0811,160000.0,702,Other,MORTGAGE,MA,Office,2019,20,0
18000,36,18.82,50000.0,710,debt_consolidation,own,CA,,2019,,0
9550,36,0.0507,120000.0,757,Home Improvement,RENT,AK,Skilled Labor,2020,19,0
1000,36,0.2362,14784.0,677,Credit Card Refinancing,RENT,MI,,2019,0,0
15000,36,0.1354,75000.0,662,Vacation,RENT,MO,Skilled Labor,2018,10,0
35000,36,0.1277,69461.0,717,Credit Card Refinancing,MORTGAGE,NY,Office,2019,10,0
7425,36,0.1908,38000.0,667,Other,RENT,VA,Legal/Government/Police,2019,1,0
17000,36,0.2471,38221.8,717,Credit Card Refinancing,RENT,TX,,2019,0,0
20000,60,0.3879,83000.0,662,Debt Consolidation,OWN,FL,Food/Hospitality,2019,10,1
24000,60,8.23,258000.0,700,debt_consolidation,mortgage,MD,Others,2019,10+ years,0
7000,36,0.209,53000.0,672,Credit Card Refinancing,RENT,SC,Real Estate,2019,2,0
21275,36,0.385,95000.0,687,Debt Consolidation,RENT,NV,Unknown,2019,24,1
15000,60,0.1233,63000.0,687,Debt Consolidation,MORTGAGE,PA,Small Business,2020,7,0
15000,60,17.87,105000.0,730,debt_consolidation,mortgage,NJ,Office,2019,10+ years,0
16000,36,23.42,70000.0,710,debt_consolidation,own,TN,Education,2019,10+ years,0
30000,36,0.3643,94036.0,687,Debt Consolidation,MORTGAGE,KY,,2019,,0
17875,60,0.2706,75000.0,692,Credit Card Refinancing,RENT,CA,Health care,2019,0,1
35000,36,0.1311,120000.0,662,Moving or Relocation,RENT,CA,,2019,1,0
20000,60,0.1852,105000.0,662,Debt Consolidation,MORTGAGE,MD,Skilled Labor,2019,10,0
11000,36,17.68,78720.0,680,debt_consolidation,mortgage,MI,Legal/Government/Police,2019,5 years,0
14000,60,0.2067,132000.0,707,Debt Consolidation,OWN,NV,Others,2019,7,0
3600,36,0.1025,76900.0,727,Vehicle Purchase,RENT,IN,Office,2019,7,0
5000,36,0.0888,30000.0,662,Debt Consolidation,RENT,MN,Food/Hospitality,2018,0,0
18000,60,0.1575,65000.0,662,Debt Consolidation,RENT,GA,Legal/Government/Police,2018,4,1
16800,36,9.01,90000.0,700,credit_card,rent,CA,Office,2019,3 years,0
4000,36,0.2734,100000.0,702,Other Major Purchase,RENT,CA,Health care,2019,1,0
10000,36,0.0428,170000.0,672,Home Improvement,MORTGAGE,IN,Others,2019,2 years,0
10000,36,0.08199999999999999,47000.0,682,Debt Consolidation,MORTGAGE,AL,Education,2019,22,0
16200,60,0.0853,90000.0,687,Debt Consolidation,OWN,NY,Food/Hospitality,2019,7,0
21275,60,0.1192,125000.0,682,Credit Card Refinancing,RENT,NJ,Health care,2019,0,0
4250,36,0.2408,50000.0,677,Debt Consolidation,RENT,AZ,Office,2020,4,0
3000,36,0.1226,70000.0,737,Debt Consolidation,MORTGAGE,WA,Food/Hospitality,2018,7,0
12000,60,0.2299,97500.0,697,Debt Consolidation,RENT,CA,IT/Engineering,2019,2,1
10000,36,0.0868,55000.0,692,Debt Consolidation,MORTGAGE,TX,Small Business,2018,10,0
24000,60,0.2158,120000.0,737,Debt Consolidation,ANY,CA,Health care,2019,5,1
40000,36,0.2152,92720.0,702,Debt Consolidation,RENT,CA,,2019,< 1 year,0
10625,60,0.1753,36000.0,677,Debt Consolidation,OWN,FL,,2019,0,0
2650,36,0.1819,59000.0,662,Debt Consolidation,OWN,TX,Skilled Labor,2019,5,0
25000,36,0.3775,95000.0,682,Credit Card Refinancing,MORTGAGE,NV,Office,2019,2,1
6000,36,0.2625,54080.0,672,Debt Consolidation,RENT,MI,Office,2019,3,0
20000,60,0.2095,100000.0,672,Other,RENT,OK,Others,2019,2,0
10000,36,0.1408,45000.0,662,Debt Consolidation,RENT,MA,Skilled Labor,2019,10,1
17000,60,0.1507,34000.0,667,Debt Consolidation,MORTGAGE,IN,,2019,< 1 year,0
28300,60,0.2583,210000.0,697,Credit Card Refinancing,RENT,TX,Others,2019,6,1
10000,36,0.2076,50000.0,662,Vacation,MORTGAGE,IL,,2019,,0
10000,36,0.2506,96000.0,692,Credit Card Refinancing,RENT,TX,Skilled Labor,2019,5,1
35000,60,0.2678,95000.0,722,Debt Consolidation,RENT,CA,Construction/Labor,2018,10,0
10000,36,0.3429,40000.0,682,Debt Consolidation,RENT,OH,Skilled Labor,2019,3,0
12000,60,0.1575,55000.0,692,Credit Card Refinancing,MORTGAGE,NJ,Office,2020,4,0
4800,36,0.0515,45000.0,662,Debt Consolidation,RENT,CA,Office,2020,1,0
25000,60,0.2365,86472.99,672,Credit Card Refinancing,MORTGAGE,FL,IT/Engineering,2020,2,0
32000,60,30.18,199000.0,700,credit_card,mortgage,MD,IT/Engineering,2020,10+ years,0
17000,60,0.14,47500.0,682,Debt Consolidation,MORTGAGE,GA,Legal/Government/Police,2018,20,0
15000,36,0.2293,46000.0,667,Debt Consolidation,MORTGAGE,IL,,2019,0,0
17600,36,25.06,60000.0,730,credit_card,own,PA,,2019,,0
24000,36,11.72,125000.0,665,debt_consolidation,mortgage,PA,,2019,< 1 year,0
10000,36,0.0874,25000.0,682,Debt Consolidation,OWN,FL,,2018,0,0
16000,36,0.3672,30000.0,687,Debt Consolidation,OWN,OH,,2018,,0
18500,60,0.2336,135000.0,707,Credit Card Refinancing,MORTGAGE,CA,Others,2019,1,0
10000,36,0.29,49992.0,677,Other,OWN,AR,Others,2019,2,1
39375,36,0.1922,203900.0,712,Debt Consolidation,OWN,TX,Unknown,2019,5,0
40000,60,0.54,97000.0,765,debt_consolidation,own,MD,Sales,2019,10+ years,0
15000,36,21.21,85000.0,615,credit_card,mortgage,VA,Office,2018,10+ years,0
10575,60,22.66,59000.0,745,credit_card,own,NH,,2019,,0
25000,36,13.34,95000.0,680,other,mortgage,FL,Skilled Labor,2019,2 years,0
18000,36,0.0,58000.0,677,Debt Consolidation,MORTGAGE,WI,Health care,2018,4,0
10000,36,0.2715,39960.0,712,Debt Consolidation,RENT,CA,Others,2019,2,0
10000,36,0.0656,80000.0,682,Debt Consolidation,MORTGAGE,NJ,Skilled Labor,2019,8,0
5000,36,0.3672,30000.0,667,Debt Consolidation,RENT,VA,Health care,2020,8,0
7200,36,0.3781,112250.0,687,Debt Consolidation,RENT,FL,IT/Engineering,2019,1,1
8100,36,0.1058,48000.0,682,Debt Consolidation,RENT,CA,Others,2020,4,0
9575,60,0.2317,35000.0,662,Debt Consolidation,RENT,OR,,2020,0,0
18000,36,0.2285,119000.0,662,Debt Consolidation,MORTGAGE,MO,Others,2019,20,0
5000,36,0.1366,60000.0,667,Debt Consolidation,RENT,AL,Office,2019,2,0
6000,36,0.1261,63168.0,672,Debt Consolidation,RENT,TX,Others,2018,10,0
6000,36,0.2639,68000.0,697,Debt Consolidation,RENT,HI,Office,2018,4,0
3200,36,0.1117,58000.0,662,Debt Consolidation,RENT,TX,Office,2018,10,0
26575,60,0.1666,84290.4,662,Debt Consolidation,RENT,CA,Office,2019,5,0
18000,36,0.0164,108531.0,712,Debt Consolidation,MORTGAGE,MA,Health care,2019,4,0
21275,60,0.1952,80000.0,702,Debt Consolidation,MORTGAGE,FL,Skilled Labor,2019,8,0
10000,60,0.0828,87000.0,667,Debt Consolidation,MORTGAGE,CA,Skilled Labor,2019,23,0
6025,36,0.1543,55000.0,677,Debt Consolidation,RENT,MA,Construction/Labor,2019,2,0
12000,60,21.5,96000.0,665,debt_consolidation,mortgage,FL,,2018,< 1 year,0
4000,36,0.36200000000000004,24000.0,727,Credit Card Refinancing,RENT,KY,Food/Hospitality,2018,0,0
19000,60,0.1693,66000.0,702,Debt Consolidation,MORTGAGE,FL,Others,2019,2,0
6000,36,0.2274,40000.0,672,Debt Consolidation,RENT,PA,Office,2019,0,0
35000,60,0.2022,150000.0,672,Debt Consolidation,MORTGAGE,GA,Health care,2019,3,0
10000,36,0.1387,86000.0,667,Debt Consolidation,MORTGAGE,CA,Legal/Government/Police,2019,10,0
10000,36,0.322,47000.0,702,Home Improvement,MORTGAGE,AL,Driver/Transportation,2020,6,1
30000,36,0.1902,156000.0,667,Debt Consolidation,OWN,CA,IT/Engineering,2018,10,0
20000,60,0.0977,145000.0,697,Credit Card Refinancing,RENT,MD,Office,2019,1,0
15000,60,0.174,40000.0,682,Debt Consolidation,RENT,NJ,Construction/Labor,2019,2,0
7500,36,0.0999,40000.0,712,Debt Consolidation,MORTGAGE,MO,Office,2018,2,1
16800,36,17.73,72000.0,675,credit_card,rent,CA,Legal/Government/Police,2019,8 years,0
2800,36,0.1867,25000.0,727,Other,OWN,TX,Office,2019,0,0
12750,36,0.1431,110000.0,742,Medical Expenses,MORTGAGE,CO,,2018,,0
14400,60,0.0525,40000.0,722,Credit Card Refinancing,RENT,IL,,2019,,0
7425,36,0.3012,60000.0,687,Credit Card Refinancing,RENT,CA,Skilled Labor,2019,5,0
5000,36,31.25,55000.0,685,home_improvement,rent,CA,Others,2019,10+ years,0
9000,36,0.2713,56800.0,722,Debt Consolidation,MORTGAGE,IN,,2019,,0
24000,36,0.1281,165000.0,732,Home Improvement,RENT,NJ,Real Estate,2018,5,1
35000,60,0.157,82000.0,702,Credit Card Refinancing,OWN,TX,Others,2019,10,0
35000,60,0.0357,290000.0,672,Debt Consolidation,RENT,CA,,2019,< 1 year,0
10000,60,0.1968,115000.0,702,Home Improvement,MORTGAGE,TN,Health care,2018,10,0
35000,36,0.2057,180000.0,692,Debt Consolidation,MORTGAGE,NV,Legal/Government/Police,2019,5,0
11200,36,0.1779,105000.0,667,Credit Card Refinancing,RENT,CA,Others,2019,10,0
7500,36,0.1204,93000.0,662,Credit Card Refinancing,MORTGAGE,KS,Travel,2019,5,0
8000,36,0.3808,26732.4,697,Credit Card Refinancing,RENT,MO,,2019,0,0
21000,60,24.37,23000.0,700,other,mortgage,PA,Skilled Labor,2018,1 year,0
20000,60,0.1996,46600.0,662,Debt Consolidation,RENT,CA,Travel,2019,3,0
18000,36,0.1383,110000.0,667,Credit Card Refinancing,MORTGAGE,CA,Health care,2019,10,0
25000,36,0.2724,110000.0,677,Credit Card Refinancing,RENT,MD,IT/Engineering,2019,4,0
9525,36,0.2143,27000.0,687,Debt Consolidation,MORTGAGE,TX,Food/Hospitality,2019,5,0
15000,36,0.3126,42000.0,692,Debt Consolidation,RENT,IL,Health care,2018,10,0
10000,36,28.46,70000.0,685,credit_card,rent,VA,Food/Hospitality,2019,10+ years,0
20000,60,0.2869,53000.0,707,Credit Card Refinancing,RENT,TX,Driver/Transportation,2019,21,0
2500,36,0.3302,38000.0,677,Debt Consolidation,RENT,CA,,2019,< 1 year,0
10000,36,0.3094,20400.0,667,Debt Consolidation,RENT,CA,,2019,,1
8000,36,0.3016,32000.0,722,Debt Consolidation,MORTGAGE,MI,,2019,,0
10000,36,0.1737,130000.0,662,Debt Consolidation,MORTGAGE,IL,Sales,2018,10,0
18000,60,0.2584,60000.0,672,Debt Consolidation,RENT,CA,Office,2019,3,1
20000,36,0.0456,96000.0,682,Debt Consolidation,MORTGAGE,CO,Driver/Transportation,2018,1,0
6000,36,11.63,100000.0,650,credit_card,rent,KY,Skilled Labor,2019,2 years,0
24000,60,0.2062,74736.0,677,Credit Card Refinancing,MORTGAGE,CA,Office,2018,10,0
20000,36,0.16,82500.0,697,Debt Consolidation,RENT,CA,Skilled Labor,2018,10,1
40000,60,31.96,90000.0,760,debt_consolidation,mortgage,MO,,2019,,0
10000,36,0.0827,106196.0,682,Vacation,RENT,TX,Office,2018,5,0
14175,36,0.1625,48000.0,672,Debt Consolidation,MORTGAGE,FL,Unknown,2019,0,1
10000,60,0.0908,54999.0,677,Credit Card Refinancing,MORTGAGE,WA,Skilled Labor,2019,0,0
12000,60,0.1493,100000.0,757,Home Improvement,MORTGAGE,CA,Others,2019,10,0
25000,60,0.3531,36400.0,722,Credit Card Refinancing,MORTGAGE,AR,Skilled Labor,2019,10,1
21275,60,0.1336,120000.0,672,Debt Consolidation,MORTGAGE,WI,IT/Engineering,2019,1,1
30000,60,0.3551,66485.0,677,Credit Card Refinancing,MORTGAGE,WY,Office,2019,15,0
